,Name,Rating,Price,RAM,Display,Camera,Battery,Processor,Number of People Rated,Number of People Review
19,"POCO C50 (Country Green, 32 GB)",4.2,"5,499",2,16.51 cm (6.5 inch) HD+ Display,13MP Rear Camera | 5MP Front Camera,5000 mAh Battery,Unisoc T606 Processor,"56,131","2,736"
20,"MOTOROLA e13 (Aurora Green, 64 GB)",4,"7,299",4,17.32 cm (6.82 inch) HD+ Display,13Mp + AI Lens | 8MP Front Camera,6000 mAh Li-ion Polymer Battery,MediaTek G37 Processor,"47,811","3,974"
21,"Infinix HOT 20 Play (Racing Black, 64 GB)",4.3,"7,999",4,17.04 cm (6.71 inch) HD+ Display,50MP Dual Rear Camera | 5MP Front Camera,5000 mAh Battery,Mediatek Helio G85 Processor,"30,738","1,565"
22,"POCO C55 (Cool Blue, 128 GB)",4.1,"8,499",6,16.71 cm (6.58 inch) Full HD+ Display,50MP + 2MP + 2MP | 8MP Front Camera,5000 mAh Battery,Helio G99 Processor,"42,752","2,551"
23,"REDMI 11 Prime (Peppy Purple, 128 GB)",4.3,"10,499",6,17.12 cm (6.74 inch) HD Display,108MP + 2MP | 8MP Front Camera,5000 mAh Battery,T612 Processor,"11,642",613
24,"realme C53 (Champion Gold, 64 GB)",4.5,"10,999",6,16.76 cm (6.6 inch) HD+ Display,13MP + AI Lens | 5MP Front Camera,6000 mAh Battery,Unisoc Spreadtrum SC9863A1 Processor,"21,692","1,071"
25,"Infinix SMART 7 (Azure Blue, 64 GB)",4.3,"6,999",4,17.12 cm (6.74 inch) HD Display,50MP + 0.08MP | 5MP Front Camera,5000 mAh Battery,T612 Processor,"68,638","3,367"
26,"realme C51 (Carbon Black, 64 GB)",4.3,"8,999",4,16.76 cm (6.6 inch) HD+ Display,13MP + AI Lens | 5MP Front Camera,6000 mAh Battery,Unisoc Spreadtrum SC9863A1 Processor,"68,638","3,367"
27,"Infinix SMART 7 (Emerald Green, 64 GB)",4.1,"6,999",4,17.04 cm (6.71 inch) HD+ Display,50MP Dual Rear Camera | 5MP Front Camera,5000 mAh Battery,Mediatek Helio G85 Processor,"42,752","2,551"
28,"POCO C55 (Power Black, 128 GB)",4.5,"8,499",6,17.12 cm (6.74 inch) HD Display,108MP + 2MP | 8MP Front Camera,5000 mAh Battery,T612 Processor,"21,692","1,071"
29,"realme C53 (Champion Black, 64 GB)",4.3,"10,999",6,16.76 cm (6.6 inch) HD+ Display,13MP + AI Lens | 5MP Front Camera,6000 mAh Battery,Unisoc Spreadtrum SC9863A1 Processor,"68,638","3,367"
30,"Infinix SMART 7 (Night Black, 128 GB)",4.3,"7,599",4,16.76 cm (6.6 inch) HD+ Display,13MP + AI Lens | 5MP Front Camera,6000 mAh Battery,Unisoc Spreadtrum SC9863A1 Processor,"68,638","3,367"
31,"Infinix SMART 7 (Azure Blue, 128 GB)",4.3,"7,599",4,16.76 cm (6.6 inch) HD+ Display,13MP + AI Lens | 5MP Front Camera,6000 mAh Battery,Unisoc Spreadtrum SC9863A1 Processor,"68,638","3,367"
32,"Infinix SMART 7 (Emerald Green, 128 GB)",4.4,"7,599",4,16.71 cm (6.58 inch) Full HD+ Display,50MP + 2MP | 8MP Front Camera,5000 mAh Battery,Dimensity 6020 Processor,"1,24,207","7,205"
33,"vivo T2x 5G (Aurora Gold, 128 GB)",4.1,"13,999",6,17.04 cm (6.71 inch) HD+ Display,50MP Dual Rear Camera | 5MP Front Camera,5000 mAh Battery,Mediatek Helio G85 Processor,"42,752","2,551"
34,"POCO C55 (Forest Green, 128 GB)",4.3,"8,499",6,17.25 cm (6.79 inch) Full HD+ Display,50MP + 8MP + 2MP | 8MP Front Camera,5000 mAh Battery,Helio G88 Processor,"13,114","1,006"
35,"REDMI 12 (Jade Black, 128 GB)",4.3,"9,999",4,16.76 cm (6.6 inch) HD+ Display,13MP + AI Lens | 5MP Front Camera,6000 mAh Battery,Unisoc Spreadtrum SC9863A1 Processor,"68,638","3,367"
36,"Infinix SMART 7 (Night Black, 64 GB)",4.1,"6,999",4,17.12 cm (6.74 inch) HD Display,108MP + 2MP | 8MP Front Camera,5000 mAh Battery,T612 Processor,"7,848",638
37,"realme C53 (Champion Gold, 128 GB)",4.4,"9,999",4,4.5 cm (1.77 inch) Display,0MP | 0MP Front Camera,1000 mAh Battery,SC6531E Processor,"1,03,586","7,206"
38,"OnePlus Nord CE 2 Lite 5G (Blue Tide, 128 GB)",4.1,"17,613",6,4.5 cm (1.77 inch) Display,0MP | 0MP Front Camera,1000 mAh Battery,SC6531E Processor,"41,943","2,620"
39,"Nokia 105 Single SIM, Keypad Mobile Phone with Wireless FM Radio",4.1,"1,299",6,4.5 cm (1.77 inch) Display,0MP | 0MP Front Camera,1000 mAh Battery,SC6531E Processor,"41,943","2,620"
40,"Nokia 105 Single SIM, Keypad Mobile Phone with Wireless FM Radio",4.1,"1,299",6,17.25 cm (6.79 inch) Full HD+ Display,50MP + 2MP | 8MP Front Camera,5000 mAh Battery,Snapdragon 4 Gen 2 Processor,"41,943","2,620"
